origin,id,txt,Ext1,Ext2,Ext3
baseline.txt,1,antwerp international airport is operated by the flemish government.,"# Output
| id | sbj                            | pred     | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|--------------------------------|----------|-------|-------|-----|------------------|
| #0 | antwerp international airport  | is operated by | -     | -    | -   | -                |
| #1 | antwerp international airport  | is operated by | the flemish government | -    | -   | -                |","# Output
| id | sbj                        | pred     | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|----------------------------|----------|-------|-------|-----|------------------|
| #0 | Antwerp International Airport | is operated by | -     | the Flemish government | -   | -                |
| #1 | the Flemish government      | operates | Antwerp International Airport | -     | -   | -                |","# Output
| id | sbj                        | pred     | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|----------------------------|----------|-------|-------|-----|------------------|
| #0 | Antwerp International Airport | is operated by | -     | the Flemish government | -   | -                |"
baseline.txt,2,the people of denmark are called texans.,"| id | sbj            | pred  | obj_d  | obj_i | sig | adv/cl/comp/sent |
|----|----------------|-------|--------|-------|-----|------------------|
| #0 | the people of Denmark | are called | Texans | -   | -   | -                |","| id | sbj             | pred | obj_d  | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|--------|-------|-----|------------------|
| #0 | the people of Denmark | are called | Texans | -     | -   | -                |","| id | sbj             | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|-------|-------|-----|------------------|
| #0 | the people of Denmark | are called | Texans | -   | -   | -                |"
baseline.txt,3,the aircraftfighter is an aircraft fighter in the united states air force.,"# Output
| id | sbj             | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|-------|-------|-----|------------------|
| #0 | the aircraftfighter | is   | an aircraft fighter | in the United States Air Force | -   | -                |","# Output
| id | sbj             | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|-------|-------|-----|------------------|
| #0 | the aircraftfighter | is   | an aircraft fighter | in the United States Air Force | -   | -                  |","# Output
| id | sbj             | pred  | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|-------|-------|-------|-----|------------------|
| #0 | the aircraftfighter | is    | an aircraft fighter | in the United States Air Force | -   | -                  |"
baseline.txt,4,"adams county, pennsylvania is southwest of carroll county, maryland.","| id | sbj                | pred    | obj_d | obj_i | sig        | adv/cl/comp/sent |
|----|--------------------|---------|-------|-------|------------|------------------|
| #0 | Adams County       | is      | -     | -     | southwest of | Carroll County, Maryland |","| id | sbj                  | pred        | obj_d | obj_i | sig | adv/cl/comp/sent       |
|----|----------------------|-------------|-------|-------|-----|------------------------|
| #0 | adams county         | is southwest| -     | of    | -   | carroll county, maryland |","| id | sbj                  | pred    | obj_d | obj_i | sig        | adv/cl/comp/sent |
|----|----------------------|---------|-------|-------|------------|------------------|
| #0 | adams county         | is      | -     | -     | southwest of | carroll county, maryland |"
baseline.txt,5,the leader of azerbaijan is artur rasizade.,"| id | sbj                | pred | obj_d          | obj_i | sig | adv/cl/comp/sent |
|----|--------------------|------|----------------|-------|-----|-----------------|
| #0 | the leader of azerbaijan | is   | Artur Rasizade |       |     |                 |","| id | sbj                | pred | obj_d          | obj_i | sig | adv/cl/comp/sent |
|----|--------------------|------|----------------|-------|-----|------------------|
| #0 | the leader of azerbaijan | is   | Artur Rasizade |       |     |                  |","| id | sbj                  | pred | obj_d           | obj_i | sig | adv/cl/comp/sent |
|----|----------------------|------|-----------------|-------|-----|------------------|
| #0 | the leader of azerbaijan | is   | Artur Rasizade  |       |     |                  |"
baseline.txt,6,the title of the leader of azerbaijan is the prime minister of azerbaijan.,"| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----|------|-------|-------|-----|-----------------|
| #0 | the leader of Azerbaijan | has title | the prime minister of Azerbaijan | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----|------|-------|-------|-----|-----------------|
| #0 | the leader of Azerbaijan | has title | the prime minister of Azerbaijan | - | - | - |","| id | sbj                    | pred  | obj_d                    | obj_i | sig | adv/cl/comp/sent |
|----|------------------------|-------|--------------------------|-------|-----|-----------------|
| #0 | the leader of azerbaijan | has title | the prime minister of azerbaijan | -     | -   | -               |"
baseline.txt,7,asher and mary isabelle richardson house has the reference number 88002539 in the national register of historic places.,"| id | sbj                             | pred        | obj_d         | obj_i | sig | adv/cl/comp/sent |
|----|---------------------------------|-------------|---------------|-------|-----|------------------|
| #0 | asher and mary isabelle richardson house | has           | reference number 88002539 | in the national register of historic places | -   | -                |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----|------|-------|-------|-----|-----------------|
| #0 | Asher and Mary Isabelle Richardson House | has | the reference number 88002539 | in the National Register of Historic Places | - | - |","| id | sbj                          | pred       | obj_d            | obj_i | sig | adv/cl/comp/sent |
|----|------------------------------|------------|------------------|-------|-----|-----------------|
| #0 | asher and mary isabelle richardson house | has          | the reference number 88002539 | -     | in  | the national register of historic places |"
baseline.txt,8,significantproject was a significant project for julia morgan.,"| id | sbj             | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|-------|-------|-----|------------------|
| #0 | significantproject | was  | a significant project | for julia morgan | -   | -                |","| id | sbj              | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|------------------|------|-------|-------|-----|------------------|
| #0 | significantproject | was  | a significant project | for Julia Morgan | -   | -                |","| id | sbj             | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|-------|-------|-----|------------------|
| #0 | significantproject | was  | a significant project | for Julia Morgan | -   | -                |"
baseline.txt,9,new netherland is part of new york city.,"| id | sbj           | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|---------------|------|-------|-------|-----|------------------|
| #0 | new netherland | is part of | new york city | -   | -   | -                |","| id | sbj           | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|---------------|------|-------|-------|-----|------------------|
| #0 | new netherland | is part of | new york city | -   | -   | -                |","| id | sbj           | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|---------------|------|-------|-------|-----|------------------|
| #0 | new netherland | is part of | new york city | - | - | - |"
baseline.txt,10,aenir is written in english.,"| id | sbj  | pred   | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|------|--------|-------|-------|-----|------------------|
| #0 | aenir | is written | -     | in English | -   | -                |","| id | sbj   | pred   | obj_d   | obj_i | sig | adv/cl/comp/sent |
|----|-------|--------|---------|-------|-----|------------------|
| #0 | aenir | is written | - | in English | - | - |","| id | sbj   | pred   | obj_d     | obj_i | sig | adv/cl/comp/sent |
|----|-------|--------|-----------|-------|-----|------------------|
| #0 | aenir | is written | in English | -     | -   | -                |"
baseline.txt,11,the academic discipline of aids journal is mathematics.,"| id | sbj                          | pred       | obj_d      | obj_i | sig | adv/cl/comp/sent |
|----|------------------------------|------------|------------|-------|-----|------------------|
| #0 | the academic discipline       | is         | mathematics | of aids journal | -   | -                |","| id | sbj                         | pred | obj_d       | obj_i | sig | adv/cl/comp/sent |
|----|-----------------------------|------|-------------|-------|-----|------------------|
| #0 | the academic discipline     | is   | mathematics | of    | the aids journal    |","| id | sbj                     | pred         | obj_d       | obj_i | sig | adv/cl/comp/sent |
|----|-------------------------|--------------|-------------|-------|-----|------------------|
| #0 | the academic discipline | is           | mathematics | of    | the aids journal    |"
baseline.txt,12,asian americans are an ethnic group in the united states.,"# Output
| id | sbj            | pred    | obj_d       | obj_i | sig | adv/cl/comp/sent |
|----|----------------|---------|-------------|-------|-----|------------------|
| #0 | asian americans| are     | an ethnic group | in the United States | -   | -                |","| id | sbj             | pred     | obj_d       | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|----------|-------------|-------|-----|------------------|
| #0 | Asian Americans | are      | an ethnic group | in the United States | -   | -                |","| id | sbj             | pred | obj_d       | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|-------------|-------|-----|------------------|
| #0 | asian americans | are  | an ethnic group | in the united states | -   | -                |"
baseline.txt,13,a. d. isidro metapan play in salvadoran primera division.,"# Output
| id | sbj             | pred | obj_d                      | obj_i | sig | adv/cl/comp/sent |
|----|-----------------|------|----------------------------|-------|-----|-----------------|
| #0 | A.D. Isidro Metapan | play | -                          | in Salvadoran Primera Division | -   | -               |","# Output
| id | sbj            | pred | obj_d                        | obj_i | sig | adv/cl/comp/sent |
|----|----------------|------|------------------------------|-------|-----|------------------|
| #0 | A.D. Isidro Metapan | play | -                            | in    | the Salvadoran Primera Division |                  |","# Output
| id | sbj            | pred | obj_d                        | obj_i | sig | adv/cl/comp/sent |
|----|----------------|------|------------------------------|-------|-----|------------------|
| #0 | A.D. Isidro Metapan | play | -                            | in the Salvadoran Primera Division | -   | -                |"
baseline.txt,14,sportsteam is in the umbria region.,"| id | sbj         | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-------------|------|-------|-------|-----|-----------------|
| #0 | sportsteam  | is in | the umbria region | -   | -   | -               |","| id | sbj         | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-------------|------|-------|-------|-----|------------------|
| #0 | sportsteam  | is   | -     | in    | the umbria region   |                 ","| id | sbj        | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|------------|------|-------|-------|-----|------------------|
| #0 | sportsteam | is in | -     | the Umbria region | -   | -                |"
baseline.txt,15,st. vincent-st. mary high school is located in the united states.,"| id | sbj                              | pred    | obj_d | obj_i | sig | adv/cl/comp/sent            |
|----|----------------------------------|---------|-------|-------|-----|-----------------------------|
| #0 | St. Vincent-St. Mary High School | is located | -     | in   | -   | the United States           |","| id | sbj                              | pred    | obj_d | obj_i | sig | adv/cl/comp/sent       |
|----|----------------------------------|---------|-------|-------|-----|------------------------|
| #0 | st. vincent-st. mary high school | is located | -     | in   | -   | the united states      |","| id | sbj                               | pred    | obj_d | obj_i | sig | adv/cl/comp/sent       |
|----|-----------------------------------|---------|-------|-------|-----|------------------------|
| #0 | St. Vincent-St. Mary High School  | is located | -     | in   | -   | the United States      |"
baseline.txt,16,1 decembrie 1918 university is in the state of alba.,"| id | sbj                             | pred | obj_d | obj_i | sig | adv/cl/comp/sent     |
|----|---------------------------------|------|-------|-------|-----|----------------------|
| #0 | 1 decembrie 1918 university     | is   | -     | in    | -   | the state of alba    |","| id | sbj                            | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|--------------------------------|------|-------|-------|-----|------------------|
| #0 | 1 decembrie 1918 university    | is   | -     | in    | the state of alba  |","| id | sbj                              | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|----------------------------------|------|-------|-------|-----|------------------|
| #0 | 1 decembrie 1918 university      | is   | -     | in    | the state of alba |"
baseline.txt,17,the has to its west is west of the national assembly.,"| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | the | has | - | to its west | - | - |
| #1 | the | is west of | the national assembly | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | the | is west of | the national assembly | - | - | - |
| #1 | the | has | - | to its west | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | the | has | its west | - | - | - |
| #1 | its west | is west of | the national assembly | - | - | - |"
baseline.txt,18,bucharest is the capital of romania.,"| id | sbj       | pred | obj_d    | obj_i | sig | adv/cl/comp/sent |
|----|-----------|------|----------|-------|-----|------------------|
| #0 | Bucharest | is   | the capital | of Romania | -   | -                |","| id | sbj       | pred | obj_d    | obj_i | sig | adv/cl/comp/sent |
|----|-----------|------|----------|-------|-----|------------------|
| #0 | Bucharest | is   | the capital | of Romania | -   | -                |","| id | sbj       | pred | obj_d   | obj_i | sig | adv/cl/comp/sent |
|----|-----------|------|---------|-------|-----|------------------|
| #0 | Bucharest | is   | capital | of Romania | -   | -                |"
baseline.txt,19,buzz aldrin was selected by nasa in 1963.,"| id | sbj        | pred      | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|------------|-----------|-------|-------|-----|------------------|
| #0 | buzz aldrin| was selected | -     | by nasa | in  | 1963             |","| id | sbj        | pred     | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|------------|----------|-------|-------|-----|------------------|
| #0 | buzz aldrin | was selected | -     | by nasa | in  | 1963           |","| id | sbj        | pred     | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|------------|----------|-------|-------|-----|------------------|
| #0 | buzz aldrin | was selected | -     | by nasa | in  | 1963           |"
