origin,id,txt,Ext1,Ext2,Ext3
reference1,1,"MotorSport Vision is located in the city of Fawkham, UK.","| id | sbj             | pred    | obj_d | obj_i | sig | adv/cl/comp/sent        |
|----|-----------------|---------|-------|-------|-----|-------------------------|
| #0 | MotorSport Vision | is located | -     | in   | the city of Fawkham, UK  |","| id | sbj              | pred     | obj_d | obj_i | sig | adv/cl/comp/sent        |
|----|------------------|----------|-------|-------|-----|-------------------------|
| #0 | MotorSport Vision | is located | -     | in   | -   | the city of Fawkham, UK |","| id | sbj             | pred    | obj_d | obj_i | sig | adv/cl/comp/sent       |
|----|-----------------|---------|-------|-------|-----|------------------------|
| #0 | MotorSport Vision | is located | -     | in   | the city of Fawkham, UK |"
reference1,2,"Abdul Taib Mahmud, a member of the Parti Pesaka Bumiputera Bersatu party, resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.","| id | sbj                 | pred      | obj_d | obj_i | sig | adv/cl/comp/sent                |
|----|---------------------|-----------|-------|-------|-----|---------------------------------|
| #0 | Abdul Taib Mahmud   | resides   | -     | in    | -   | Demak Jaya, Jalan Bako, Kuching, Sarawak |
| #1 | Abdul Taib Mahmud   | is member | -     | of    | -   | Parti Pesaka Bumiputera Bersatu party |","| id | sbj                | pred  | obj_d | obj_i | sig | adv/cl/comp/sent                |
|----|--------------------|-------|-------|-------|-----|---------------------------------|
| #0 | Abdul Taib Mahmud | resides | -     | in    | -   | Demak Jaya, Jalan Bako, Kuching, Sarawak |
| #1 | Abdul Taib Mahmud | is a member | -     | of   | -   | Parti Pesaka Bumiputera Bersatu party |","| id | sbj                | pred      | obj_d | obj_i | sig | adv/cl/comp/sent                     |
|----|--------------------|-----------|-------|-------|-----|--------------------------------------|
| #0 | Abdul Taib Mahmud  | resides   | -     | in    | Demak Jaya, Jalan Bako, Kuching, Sarawak | - | - |
| #1 | Abdul Taib Mahmud  | is member | -     | of    | Parti Pesaka Bumiputera Bersatu party | - | - |"
reference1,3,"Aaron Turner is a post-metal musician born in Massachusetts who plays electric guitar, started performing in 1995 and is in the Lotus Eaters band.","| id | sbj          | pred         | obj_d            | obj_i | sig | adv/cl/comp/sent       |
|----|--------------|--------------|------------------|-------|-----|------------------------|
| #0 | Aaron Turner | is           | a post-metal musician | -     | -   | -                      |
| #1 | Aaron Turner | was born     | -                | in Massachusetts | -   | -                      |
| #2 | Aaron Turner | plays        | electric guitar  | -     | -   | -                      |
| #3 | Aaron Turner | started      | performing       | -     | in  | 1995                   |
| #4 | Aaron Turner | is in        | the Lotus Eaters band | -     | -   | -                      |","| id | sbj          | pred        | obj_d            | obj_i | sig | adv/cl/comp/sent            |
|----|--------------|-------------|------------------|-------|-----|-----------------------------|
| #0 | Aaron Turner | is          | a musician       | -     | -   | -                           |
| #1 | Aaron Turner | is born     | -                | in Massachusetts | -   | -                           |
| #2 | Aaron Turner | plays       | electric guitar  | -     | -   | -                           |
| #3 | Aaron Turner | started     | performing       | -     | in  | 1995                        |
| #4 | Aaron Turner | is in       | the Lotus Eaters band | -     | -   | -                           |
| #5 | Aaron Turner | is          | a post-metal musician | -     | -   | -                           |","| id | sbj          | pred          | obj_d           | obj_i | sig | adv/cl/comp/sent        |
|----|--------------|---------------|-----------------|-------|-----|-------------------------|
| #0 | Aaron Turner | is            | a musician      | -     | -   | -                       |
| #1 | Aaron Turner | is born       | -               | in Massachusetts | -   | -                       |
| #2 | Aaron Turner | plays         | electric guitar | -     | -   | -                       |
| #3 | Aaron Turner | started       | performing      | -     | in  | 1995                    |
| #4 | Aaron Turner | is in         | the Lotus Eaters band | - | -   | -                       |
| #5 | Aaron Turner | is            | post-metal      | -     | as  | a musician              |"
reference1,4,"Nord is an album by Year of No Light, which is associated with the band Monarch.","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | Nord | is an album by | Year of No Light | - | - | - |
| #1 | Year of No Light | is associated with | the band Monarch | - | - | - |
| #2 | the band Monarch | is associated with | Year of No Light | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | Nord | is an album by | Year of No Light | - | - | - |
| #1 | Year of No Light | is associated with | the band Monarch | - | - | - |
| #2 | the band Monarch | is | - | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | Nord | is an album by | Year of No Light | - | - | - |
| #1 | Year of No Light | is associated with | the band Monarch | - | - | - |
| #2 | the band Monarch | is associated with | Year of No Light | - | - | - |"
reference1,5,Cecil Parker starred in the 1956 movie It's Great to Be Young.,"# Output
| id | sbj         | pred   | obj_d               | obj_i | sig | adv/cl/comp/sent |
|----|-------------|--------|---------------------|-------|-----|------------------|
| #0 | Cecil Parker| starred| in It's Great to Be Young | -     | in  | the 1956 movie   |","| id | sbj         | pred   | obj_d                  | obj_i | sig | adv/cl/comp/sent |
|----|-------------|--------|------------------------|-------|-----|------------------|
| #0 | Cecil Parker| starred| in It's Great to Be Young | -     | in  | the 1956 movie   |","| id | sbj         | pred   | obj_d                   | obj_i | sig | adv/cl/comp/sent |
|----|-------------|--------|-------------------------|-------|-----|------------------|
| #0 | Cecil Parker | starred in | It's Great to Be Young | -     | in  | 1956             |"
reference1,6,"Train released Mermaid, produced by the Espionage team, shortly before covering John Lennon's Imagine. Imagine by John Lennon earned the FIMI certification.","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | Train | released | Mermaid | - | - | shortly before covering John Lennon's Imagine |
| #1 | Espionage team | produced | Mermaid | - | - | - |
| #2 | Train | covered | Imagine | by John Lennon | - | - |
| #3 | Imagine by John Lennon | earned | the FIMI certification | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | Train | released | Mermaid | - | - | shortly before #1 |
| #1 | Train | covered | Imagine by John Lennon | - | - | - |
| #2 | Mermaid | was produced | by the Espionage team | - | - | - |
| #3 | Imagine by John Lennon | earned | the FIMI certification | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | Train | released | Mermaid | - | shortly before | #1 |
| #1 | Train | covered | Imagine by John Lennon | - | - | - |
| #2 | Mermaid | was produced by | the Espionage team | - | - | - |
| #3 | Imagine by John Lennon | earned | the FIMI certification | - | - | - |"
reference1,7,Fantasy is The Fellowship of the Ring's genre.,"| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| -- | --- | ---- | ----- | ----- | --- | ---------------- |
| #0 | The Fellowship of the Ring | has genre | Fantasy | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----|------|-------|-------|-----|------------------|
| #0 | The Fellowship of the Ring | has genre | Fantasy | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----|------|-------|-------|-----|-----------------|
| #0 | The Fellowship of the Ring | has genre | Fantasy | - | - | - |"
reference1,8,"In the USA, where African Americans are a national ethnic group, Casey Ribicoff and Abraham A. Ribicoff were married and Abraham later died there.","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | African Americans | are | a national ethnic group | - | in | the USA |
| #1 | Casey Ribicoff and Abraham A. Ribicoff | were married | - | - | - | - |
| #2 | Abraham A. Ribicoff | died | - | - | - | in the USA |","| id | sbj                | pred      | obj_d | obj_i | sig  | adv/cl/comp/sent   |
|----|--------------------|-----------|-------|-------|------|--------------------|
| #0 | Casey Ribicoff     | was married to | Abraham A. Ribicoff | -    | in   | the USA, where African Americans are a national ethnic group |
| #1 | Abraham A. Ribicoff | died      | -     | -     | in   | the USA            |
| #2 | African Americans  | are       | a national ethnic group | -    | in   | the USA            |","| id | sbj             | pred    | obj_d | obj_i | sig  | adv/cl/comp/sent |
|----|-----------------|---------|-------|-------|------|------------------|
| #0 | Casey Ribicoff  | married | -     | to Abraham A. Ribicoff | -    | -                |
| #1 | Abraham A. Ribicoff | died | -     | -     | in   | the USA          |
| #2 | African Americans | are    | a national ethnic group | -     | in   | the USA          |"
reference1,9,"The University of Burgundy in Dijon has 2900 staff members that educate a total of 27400 students of them 1299 are doctoral students, and 9400 are postgraduate students.","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | The University of Burgundy in Dijon | has | 2900 staff members | - | - | - |
| #1 | The University of Burgundy in Dijon | educates | a total of 27400 students | - | - | - |
| #2 | The University of Burgundy in Dijon | has | 1299 doctoral students | among | a total of 27400 students |
| #3 | The University of Burgundy in Dijon | has | 9400 postgraduate students | among | a total of 27400 students |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | The University of Burgundy in Dijon | has | 2900 staff members | - | - | - |
| #1 | 2900 staff members | educate | 27400 students | - | - | - |
| #2 | 27400 students | include | 1299 doctoral students | - | - | - |
| #3 | 27400 students | include | 9400 postgraduate students | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | The University of Burgundy in Dijon | has | 2900 staff members | - | - | - |
| #1 | 2900 staff members | educate | 27400 students | - | - | - |
| #2 | 27400 students | include | 1299 doctoral students | - | - | - |
| #3 | 27400 students | include | 9400 postgraduate students | - | - | - |"
reference1,10,"The album Nord by the Year of No Light, who also produced it was released by the record label Crucial blast. The album Nord was followed with the album Live at Roadburn 2008.","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | the album Nord | was produced | - | by the Year of No Light | - | - |
| #1 | the album Nord | was released | - | by the record label Crucial Blast | - | - |
| #2 | the album Nord | was followed | with the album Live at Roadburn 2008 | - | - | - |
| #3 | the Year of No Light | produced | the album Nord | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
|----|-----|------|-------|-------|-----|-----------------|
| #0 | the album Nord | was released | - | by the record label Crucial Blast | - | - |
| #1 | the Year of No Light | produced | the album Nord | - | - | - |
| #2 | the album Nord | was followed with | the album Live at Roadburn 2008 | - | - | - |","| id | sbj | pred | obj_d | obj_i | sig | adv/cl/comp/sent |
| - | - | - | - | - | - | - |
| #0 | the album Nord | was produced | - | by the Year of No Light | - | - |
| #1 | the album Nord | was released | - | by the record label Crucial blast | - | - |
| #2 | the album Nord | was followed | with the album Live at Roadburn 2008 | - | - | - |
| #3 | the Year of No Light | produced | the album Nord | - | - | - |"
